Rank,Country,HDI,,,,,,
1,Norway,0.944,,,,,,
2,Australia,0.933,,,,,,
3,Switzerland,0.917,,,,,,
4,Netherlands,0.915,,,,,,
5,United States,0.914,,,,,,
6,Germany,0.911,,,,,,
7,New Zealand,0.91,,,,,,
8,Canada,0.902,,,,,,
9,Singapore,0.901,,,,,,
10,Denmark,0.9,,,,,,
11,Ireland,0.899,,,,,,
12,Sweden,0.898,,,,,,
13,Iceland,0.895,,,,,,
14,United Kingdom,0.892,,,,,,
15,Hong Kong,0.891,,,,,,
15,Korea (Republic of),0.891,,,,,,
16,Japan,0.89,,,,,,
17,Liechtenstein,0.889,,,,,,
18,Israel,0.888,,,,,,
19,France,0.884,,,,,,
20,Austria,0.881,,,,,,
20,Belgium,0.881,,,,,,
20,Luxembourg,0.881,,,,,,
21,Finland,0.879,,,,,,
22,Slovenia,0.874,,,,,,
23,Italy,0.872,,,,,,
24,Spain,0.869,,,,,,
25,Czech Republic,0.861,,,,,,
26,Greece,0.853,,,,,,
27,Brunei Darussalam,0.852,,,,,,
28,Qatar,0.851,,,,,,
29,Cyprus,0.845,,,,,,
30,Estonia,0.84,,,,,,
31,Saudi Arabia,0.836,,,,,,
32,Lithuania,0.834,,,,,,
32,Poland,0.834,,,,,,
33,Andorra,0.83,,,,,,
33,Slovakia,0.83,,,,,,
34,Malta,0.829,,,,,,
35,United Arab Emirates,0.827,,,,,,
36,Chile,0.822,,,,,,
36,Portugal,0.822,,,,,,
37,Hungary,0.818,,,,,,
38,Bahrain,0.815,,,,,,
38,Cuba,0.815,,,,,,
39,Kuwait,0.814,,,,,,
40,Croatia,0.812,,,,,,
41,Latvia,0.81,,,,,,
42,Argentina,0.808,,,,,,
43,Uruguay,0.79,,,,,,
44,Bahamas,0.789,,,,,,
44,Montenegro,0.789,,,,,,
45,Belarus,0.786,,,,,,
46,Romania,0.785,,,,,,
47,Libya,0.784,,,,,,
48,Oman,0.783,,,,,,
49,Russian Federation,0.778,,,,,,
50,Bulgaria,0.777,,,,,,
51,Barbados,0.776,,,,,,
52,Palau,0.775,,,,,,
53,Antigua and Barbuda,0.774,,,,,,
54,Malaysia,0.773,,,,,,
55,Mauritius,0.771,,,,,,
56,Trinidad and Tobago,0.766,,,,,,
57,Lebanon,0.765,,,,,,
57,Panama,0.765,,,,,,
58,Venezuela (Bolivarian Republic of),0.764,,,,,,
59,Costa Rica,0.763,,,,,,
60,Turkey,0.759,,,,,,
61,Kazakhstan,0.757,,,,,,
62,Mexico,0.756,,,,,,
62,Seychelles,0.756,,,,,,
63,Saint Kitts and Nevis,0.75,,,,,,
63,Sri Lanka,0.75,,,,,,
64,Iran (Islamic Republic of),0.749,,,,,,
65,Azerbaijan,0.747,,,,,,
66,Jordan,0.745,,,,,,
66,Serbia,0.745,,,,,,
67,Brazil,0.744,,,,,,
67,Georgia,0.744,,,,,,
68,Grenada,0.744,,,,,,
69,Peru,0.737,,,,,,
69,Ukraine,0.734,,,,,,
70,Belize,0.732,,,,,,
70,The former Yugoslav Republic of Macedonia,0.732,,,,,,
71,Bosnia and Herzegovina,0.731,,,,,,
72,Armenia,0.73,,,,,,
73,Fiji,0.724,,,,,,
74,Thailand,0.722,,,,,,
75,Tunisia,0.721,,,,,,
76,China,0.719,,,,,,
76,Saint Vincent and the Grenadines,0.719,,,,,,
77,Algeria,0.717,,,,,,
77,Dominica,0.717,,,,,,
78,Albania,0.716,,,,,,
79,Jamaica,0.715,,,,,,
80,Saint Lucia,0.714,,,,,,
81,Colombia,0.711,,,,,,
81,Ecuador,0.711,,,,,,
82,Suriname,0.705,,,,,,
82,Tonga,0.705,,,,,,
83,Dominican Republic,0.7,,,,,,
84,Maldives,0.698,,,,,,
84,Mongolia,0.698,,,,,,
84,Turkmenistan,0.698,,,,,,
85,Samoa,0.694,,,,,,
86,Palestine,0.686,,,,,,
87,Indonesia,0.684,,,,,,
88,Botswana,0.683,,,,,,
89,Egypt,0.682,,,,,,
90,Paraguay,0.676,,,,,,
91,Gabon,0.674,,,,,,
92,Bolivia (Plurinational State of),0.667,,,,,,
93,Moldova (Republic of),0.663,,,,,,
94,El Salvador,0.662,,,,,,
95,Uzbekistan,0.661,,,,,,
96,Philippines,0.66,,,,,,
97,South Africa,0.658,,,,,,
97,Syrian Arab Republic,0.658,,,,,,
98,Iraq,0.642,,,,,,
99,Guyana,0.638,,,,,,
99,Viet Nam,0.638,,,,,,
100,Cape Verde,0.636,,,,,,
101,Micronesia (Federated States of),0.63,,,,,,
102,Guatemala,0.628,,,,,,
102,Kyrgyzstan,0.628,,,,,,
103,Namibia,0.624,,,,,,
104,Timor-Leste,0.62,,,,,,
105,Honduras,0.617,,,,,,
105,Morocco,0.617,,,,,,
106,Vanuatu,0.616,,,,,,
107,Nicaragua,0.614,,,,,,
108,Kiribati,0.607,,,,,,
108,Tajikistan,0.607,,,,,,
109,India,0.586,,,,,,
110,Bhutan,0.584,,,,,,
110,Cambodia,0.584,,,,,,
111,Ghana,0.573,,,,,,
112,Lao People's Democratic Republic,0.569,,,,,,
113,Congo,0.564,,,,,,
114,Zambia,0.561,,,,,,
115,Bangladesh,0.558,,,,,,
115,Sao Tome and Principe,0.558,,,,,,
116,Equatorial Guinea,0.556,,,,,,
114,Nepal,0.54,,,,,,
115,Pakistan,0.537,,,,,,
116,Kenya,0.535,,,,,,
117,Swaziland,0.53,,,,,,
118,Angola,0.526,,,,,,
119,Myanmar,0.524,,,,,,
120,Rwanda,0.506,,,,,,
121,Cameroon,0.504,,,,,,
121,Nigeria,0.504,,,,,,
122,Yemen,0.5,,,,,,
123,Madagascar,0.498,,,,,,
124,Zimbabwe,0.492,,,,,,
125,Papua New Guinea,0.491,,,,,,
125,Solomon Islands,0.491,,,,,,
126,Comoros,0.488,,,,,,
126,Tanzania (United Republic of),0.488,,,,,,
127,Mauritania,0.487,,,,,,
128,Lesotho,0.486,,,,,,
129,Senegal,0.485,,,,,,
130,Uganda,0.484,,,,,,
131,Benin,0.476,,,,,,
132,Sudan,0.473,,,,,,
132,Togo,0.473,,,,,,
133,Haiti,0.471,,,,,,
134,Afghanistan,0.468,,,,,,
135,Djibouti,0.467,,,,,,
